1318836.311
1,180,411
1,096,976
1,058,103
1,007,853
942,432
890,286
802,110
741,431
715,831
680,751
671,270
641,878
633,345
627,656
584,991
582,146
582,146
564,132
555,599
536,636
519,570
508,193
497,764
491,127
488,282
477,853
476,905
476,905
473,112
473,112
473,112
459,839
457,942
441,824
438,032
428,551
420,018
418,121
15,277
415,277
405,796
398,211
396,315
387,781
379,248
373,560
368,819
363,130
361,234
353,649
350,805
350,805
344,168
341,324
337,531
336,583
326,154
324,257
322,361
312,880
306,243
301,502
297,710
295,814
294,866
288,229
279,696
279,696
275,903
274,955
274,007
263,578
262,630
261,681
255,045
254,096
249,356
249,356
240,823
239,875
232,290
232,290
232,290
231,342
212,379
205,742
204,794
198,157
191,520
188,676
183,935
182,987
182,039
181,091
179,195
177,299
171,610
169,714
168,766
167,817
165,921
161,181
161,181
160,232
160,232
158,336
158,336
153,596
147,907
144,114
142,218
142,218
141,270
141,270
138,426
137,478
136,529
127,996
126,100
123,256
121,359
120,411
120,411
118,515
118,515
117,567
116,619
115,671
115,671
114,723
111,878
109,034
109,034
107,138
106,190
105,241
101,449
99,553
94,812
93,864
92,916
92,916
90,071
87,227
84,383
82,487
82,487
81,538
78,694
78,694
77,746
76,798
73,953
71,109
70,161
68,265
65,420
65,420
65,420
64,472
62,576
58,784
55,939
54,991
54,991
54,043
54,043
53,095
53,095
51,199
51,199
44,562
43,614
41,717
40,769
39,821
37,925
37,925
36,977
36,029
36,029
35,080
35,080
35,080
34,132
34,132
33,184
32,236
32,236
30,340
30,340
30,340
27,496
25,599
25,599
25,599
23,703
22,755
21,807
21,807
21,807
20,859
20,859
20,859
19,911
18,962
18,962
18,962
18,014
17,066
17,066
16,118
16,118
16,118
15,170
15,170
15,170
15,170
14,222
13,274
12,326
11,377
11,377
11,377
9,481
7,585
6,637
6,637
